sitename,county,aqi,status,pm2.5,datacreationdate,longigude
永和,新北市,33,,良好,0.3,0.42
竹山,南投縣,90,細懸浮微粒,普通,2.2,0.37
中壢,桃園市,72,細懸浮微粒,普通,1,1.09
三重,新北市,62,二氧化氮,普通,1.1,1.23
冬山,宜蘭縣,39,,良好,0.6,0.2
宜蘭,宜蘭縣,38,,良好,0.6,0.28
陽明,臺北市,39,,良好,0.4,0.19
花蓮,花蓮縣,36,,良好,1.1,0.43
臺東,臺東縣,37,,良好,0.7,0.25
恆春,屏東縣,40,,良好,1,0.14
潮州,屏東縣,97,細懸浮微粒,普通,1.6,0.32
屏東,屏東縣,104,細懸浮微粒,對敏感族群不健康,1.4,0.6
小港,高雄市,101,細懸浮微粒,對敏感族群不健康,2.7,0.32
前鎮,高雄市,95,細懸浮微粒,普通,3.2,0.35
前金,高雄市,93,細懸浮微粒,普通,1.2,0.39
左營,高雄市,95,細懸浮微粒,普通,1.4,0.27
楠梓,高雄市,99,細懸浮微粒,普通,2.1,0.46
林園,高雄市,91,細懸浮微粒,普通,1.1,0.26
大寮,高雄市,102,細懸浮微粒,對敏感族群不健康,1.4,0.45
鳳山,高雄市,101,細懸浮微粒,對敏感族群不健康,2.1,1.34
仁武,高雄市,96,細懸浮微粒,普通,1.4,0.43
橋頭,高雄市,113,細懸浮微粒,對敏感族群不健康,1.7,0.44
美濃,高雄市,84,細懸浮微粒,普通,1.3,0.3
臺南,臺南市,91,細懸浮微粒,普通,1.3,0.43
安南,臺南市,90,懸浮微粒,普通,0.9,0.29
善化,臺南市,87,細懸浮微粒,普通,1.6,0.25
新營,臺南市,81,懸浮微粒,普通,0.6,0.28
嘉義,嘉義市,78,細懸浮微粒,普通,1.9,0.3
臺西,雲林縣,62,細懸浮微粒,普通,0.6,0.2
朴子,嘉義縣,73,細懸浮微粒,普通,1.8,0.27
新港,嘉義縣,78,細懸浮微粒,普通,0.9,0.21
崙背,雲林縣,91,細懸浮微粒,普通,0.9,0.24
斗六,雲林縣,84,細懸浮微粒,普通,1.8,0.35
南投,南投縣,68,細懸浮微粒,普通,1.7,0.44
二林,彰化縣,76,細懸浮微粒,普通,2,0.23
線西,彰化縣,68,細懸浮微粒,普通,2.3,0.3
彰化,彰化縣,75,細懸浮微粒,普通,0.8,0.31
西屯,臺中市,66,細懸浮微粒,普通,1.1,0.28
忠明,臺中市,73,細懸浮微粒,普通,1.6,0.37
大里,臺中市,72,細懸浮微粒,普通,1.2,0.51
沙鹿,臺中市,68,細懸浮微粒,普通,1,0.23
豐原,臺中市,76,細懸浮微粒,普通,2.5,0.31
三義,苗栗縣,48,,良好,1.3,0.26
苗栗,苗栗縣,57,細懸浮微粒,普通,1.9,0.23
頭份,苗栗縣,57,懸浮微粒,普通,1.5,0.24
新竹,新竹市,56,細懸浮微粒,普通,0.3,0.39
竹東,新竹縣,59,細懸浮微粒,普通,0,0.37
湖口,新竹縣,61,細懸浮微粒,普通,0.7,0.3
龍潭,桃園市,81,細懸浮微粒,普通,2.9,0.53
平鎮,桃園市,59,細懸浮微粒,普通,1.5,0.44
觀音,桃園市,50,,良好,0.6,0.22
大園,桃園市,58,細懸浮微粒,普通,2.1,0.46
桃園,桃園市,64,二氧化氮,普通,4.2,0.56
大同,臺北市,62,二氧化氮,普通,1,1.06
松山,臺北市,32,,良好,1.8,0.25
古亭,臺北市,37,,良好,1.3,0.28
萬華,臺北市,57,二氧化氮,普通,0.4,0.54
中山,臺北市,57,二氧化氮,普通,0.9,0.73
士林,臺北市,39,,良好,0.6,0.26
淡水,新北市,37,,良好,0.4,0.24
林口,新北市,44,,良好,1.3,0.38
菜寮,新北市,52,二氧化氮,普通,0.6,0.57
新莊,新北市,38,,良好,0.4,0.41
板橋,新北市,54,二氧化氮,普通,0.3,0.68
土城,新北市,37,,良好,0.6,0.41
新店,新北市,39,,良好,0.4,0.29
萬里,新北市,39,,良好,0.2,0.21
汐止,新北市,33,,良好,0.4,0.34
基隆,基隆市,39,,良好,0.9,0.21
屏東(枋山),屏東縣,118,臭氧八小時,對敏感族群不健康,1.1,0.22
花蓮（美崙）,花蓮縣,35,,良好,0,0.16
新北（樹林）,新北市,58,懸浮微粒,普通,0.9,0.4
台中市（和平區消防隊）,臺中市,52,細懸浮微粒,普通,1,0.37
屏東（琉球）,屏東縣,86,細懸浮微粒,普通,1.3,0.26
臺南（麻豆）,臺南市,83,懸浮微粒,普通,1.5,0.24
高雄（湖內）,高雄市,104,細懸浮微粒,對敏感族群不健康,1.8,0.33
宜蘭（頭城）,宜蘭縣,40,,良好,1.3,0.13
員林,彰化縣,82,細懸浮微粒,普通,2.6,0.34
大城,彰化縣,61,細懸浮微粒,普通,0.8,
富貴角,新北市,46,,良好,1.2,0.15
麥寮,雲林縣,68,細懸浮微粒,普通,1.2,0.22
關山,臺東縣,31,,良好,0.7,0.14
馬公,澎湖縣,54,細懸浮微粒,普通,1.1,0.23
金門,金門縣,75,細懸浮微粒,普通,1.6,0.4
馬祖,連江縣,66,細懸浮微粒,普通,1.9,0.35
埔里,南投縣,48,,良好,1.6,0.33
復興,高雄市,102,細懸浮微粒,對敏感族群不健康,2.1,0.47
永和,新北市,33,,良好,0.3,0.34
竹山,南投縣,87,細懸浮微粒,普通,2.5,0.35
中壢,桃園市,71,細懸浮微粒,普通,1.6,0.95
三重,新北市,60,二氧化氮,普通,0.7,1.04
冬山,宜蘭縣,37,,良好,0.5,0.17
宜蘭,宜蘭縣,38,,良好,0.5,0.27
陽明,臺北市,40,,良好,0.6,0.19
花蓮,花蓮縣,38,,良好,0.9,0.42
臺東,臺東縣,36,,良好,0.8,0.27
恆春,屏東縣,40,,良好,0.7,0.14
潮州,屏東縣,93,細懸浮微粒,普通,1.9,0.32
屏東,屏東縣,107,細懸浮微粒,對敏感族群不健康,2,0.45
小港,高雄市,103,細懸浮微粒,對敏感族群不健康,2.9,0.36
前鎮,高雄市,99,細懸浮微粒,普通,3.3,0.34
前金,高雄市,96,細懸浮微粒,普通,1.2,0.38
左營,高雄市,99,細懸浮微粒,普通,1.3,0.26
楠梓,高雄市,99,細懸浮微粒,普通,2.1,0.39
林園,高雄市,94,細懸浮微粒,普通,1,0.27
大寮,高雄市,101,細懸浮微粒,對敏感族群不健康,1.5,0.37
鳳山,高雄市,103,細懸浮微粒,對敏感族群不健康,2.2,1.07
仁武,高雄市,98,細懸浮微粒,普通,1.1,0.36
橋頭,高雄市,111,細懸浮微粒,對敏感族群不健康,1.7,0.41
美濃,高雄市,80,細懸浮微粒,普通,1.3,0.29
臺南,臺南市,91,細懸浮微粒,普通,1.5,0.37
安南,臺南市,92,懸浮微粒,普通,1,0.29
善化,臺南市,88,細懸浮微粒,普通,1.8,0.23
新營,臺南市,83,懸浮微粒,普通,0.9,0.27
嘉義,嘉義市,76,細懸浮微粒,普通,2.2,0.32
臺西,雲林縣,64,細懸浮微粒,普通,0.3,0.21
朴子,嘉義縣,73,細懸浮微粒,普通,1.9,0.27
新港,嘉義縣,79,細懸浮微粒,普通,1.2,0.23
崙背,雲林縣,84,細懸浮微粒,普通,1.2,0.26
斗六,雲林縣,83,細懸浮微粒,普通,1.9,0.32
南投,南投縣,63,細懸浮微粒,普通,1.8,0.44
二林,彰化縣,74,細懸浮微粒,普通,2,0.21
線西,彰化縣,69,細懸浮微粒,普通,1.7,0.24
彰化,彰化縣,76,細懸浮微粒,普通,1.1,0.35
西屯,臺中市,66,細懸浮微粒,普通,1.2,0.28
忠明,臺中市,68,細懸浮微粒,普通,2.5,0.33
大里,臺中市,73,細懸浮微粒,普通,,0.41
沙鹿,臺中市,67,細懸浮微粒,普通,1.1,0.24
豐原,臺中市,73,細懸浮微粒,普通,2.4,0.32
三義,苗栗縣,42,,良好,1.7,0.24
苗栗,苗栗縣,55,細懸浮微粒,普通,2.4,0.24
頭份,苗栗縣,52,細懸浮微粒,普通,,0.25
新竹,新竹市,52,細懸浮微粒,普通,0.7,0.29
竹東,新竹縣,55,細懸浮微粒,普通,0.4,0.41
湖口,新竹縣,56,細懸浮微粒,普通,0.7,0.22
龍潭,桃園市,68,細懸浮微粒,普通,3.1,0.44
平鎮,桃園市,56,細懸浮微粒,普通,1.8,0.51
觀音,桃園市,45,,良好,0.9,0.23
大園,桃園市,54,細懸浮微粒,普通,4.6,0.4
桃園,桃園市,57,二氧化氮,普通,6.8,0.53
大同,臺北市,61,二氧化氮,普通,1.1,1.38
松山,臺北市,32,,良好,2,0.25
古亭,臺北市,37,,良好,1.2,0.23
萬華,臺北市,45,,良好,0.5,0.4
中山,臺北市,53,二氧化氮,普通,0.9,0.53
士林,臺北市,39,,良好,0.5,0.24
淡水,新北市,37,,良好,1,0.31
林口,新北市,44,,良好,1.5,0.32
菜寮,新北市,35,,良好,0.6,0.47
新莊,新北市,42,,良好,0.5,0.31
板橋,新北市,45,,良好,0.7,0.48
土城,新北市,37,,良好,0.6,0.39
新店,新北市,38,,良好,0.3,0.23
萬里,新北市,39,,良好,0.1,0.2
汐止,新北市,33,,良好,0.4,0.28
基隆,基隆市,39,,良好,0.8,0.2
屏東(枋山),屏東縣,108,臭氧八小時,對敏感族群不健康,0.9,0.19
花蓮（美崙）,花蓮縣,34,,良好,0,0.15
新北（樹林）,新北市,59,懸浮微粒,普通,1.6,0.24
台中市（和平區消防隊）,臺中市,44,,良好,1,0.37
屏東（琉球）,屏東縣,95,細懸浮微粒,普通,1.6,0.25
臺南（麻豆）,臺南市,82,懸浮微粒,普通,1.6,0.21
高雄（湖內）,高雄市,106,細懸浮微粒,對敏感族群不健康,2,0.29
宜蘭（頭城）,宜蘭縣,39,,良好,1.3,0.14
員林,彰化縣,79,細懸浮微粒,普通,2.6,0.31
大城,彰化縣,59,細懸浮微粒,普通,0.7,0.16
富貴角,新北市,45,,良好,0.9,0.15
麥寮,雲林縣,67,細懸浮微粒,普通,1.3,0.2
關山,臺東縣,29,,良好,0.7,0.16
馬公,澎湖縣,54,細懸浮微粒,普通,1.2,0.19
金門,金門縣,73,細懸浮微粒,普通,1.5,0.35
馬祖,連江縣,61,細懸浮微粒,普通,1.5,0.28
埔里,南投縣,40,,良好,1.6,0.32
復興,高雄市,107,細懸浮微粒,對敏感族群不健康,1.6,0.45
永和,新北市,32,,良好,0.5,0.26
竹山,南投縣,85,細懸浮微粒,普通,2.7,0.32
中壢,桃園市,67,細懸浮微粒,普通,1.5,0.72
三重,新北市,56,二氧化氮,普通,0.7,0.85
冬山,宜蘭縣,33,,良好,0.4,0.16
宜蘭,宜蘭縣,37,,良好,0.5,0.28
陽明,臺北市,40,,良好,0.6,0.21
花蓮,花蓮縣,37,,良好,1.1,0.24
臺東,臺東縣,34,,良好,0.7,0.2
恆春,屏東縣,40,,良好,0.7,0.14
潮州,屏東縣,97,細懸浮微粒,普通,1.7,0.3
屏東,屏東縣,105,細懸浮微粒,對敏感族群不健康,2.4,0.39
